league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
FRA-Ligue 1,2324,Lorient,Laurent Abergel,5,2023,179,4882,M S,33,2863,2,0.9182511237449944,2,0.9182511237449944,1,2.0591473784297705,26,31,4,0,10.164760626852512,8.12498695217073
FRA-Ligue 1,2324,Lorient,Loris Mouyokolo,5,2023,179,9197,D,1,90,0,0.0,0,0.0,0,0.0,0,0,0,0,0.12271364778280258,0.12271364778280258
FRA-Ligue 1,2324,Lorient,Mohamed Bamba,5,2023,179,12383,F M S,16,1163,8,7.7029648795723915,7,6.942869700491428,3,2.106854500249028,38,14,3,0,9.102448683232069,1.4751060977578163
FRA-Ligue 1,2324,Lorient,Montassar Talbi,5,2023,179,9873,D,25,2204,0,0.6891204351559281,0,0.6891204351559281,0,0.25166409090161324,5,7,2,0,4.523782499134541,4.413807041943073
FRA-Ligue 1,2324,Lorient,Nathaniel Adjei,5,2023,179,12382,D S,15,1243,0,0.3647497743368149,0,0.3647497743368149,0,0.07138668745756149,4,3,2,0,2.7994321640580893,2.756242336705327
FRA-Ligue 1,2324,Lorient,Pablo Pagis,5,2023,179,10347,M,3,175,0,0.10874316096305847,0,0.10874316096305847,0,0.0,3,0,1,0,0.08537323027849197,0.023136625066399574
FRA-Ligue 1,2324,Lorient,Panos Katseris,5,2023,179,12381,D S,15,1059,1,2.2099021282047033,1,2.2099021282047033,1,0.8746824134141207,17,9,4,0,4.74935185816139,1.8716182494536042
FRA-Ligue 1,2324,Lorient,Romain Faivre,5,2023,179,6420,F M S,17,1452,5,2.751144153997302,5,2.751144153997302,1,1.3688614312559366,27,16,1,0,6.2825479209423065,3.7627732884138823
FRA-Ligue 1,2324,Lorient,Royce Openda,5,2023,179,12326,S,1,14,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
FRA-Ligue 1,2324,Lorient,Siriné Doucouré,5,2023,179,11090,F S,11,422,1,1.0782809853553772,1,1.0782809853553772,3,1.0283502545207739,9,10,2,0,2.625079123303294,1.155181280337274
FRA-Ligue 1,2324,Lorient,Souleymane Isaak Touré,5,2023,179,10854,D S,24,2052,1,2.0452666468918324,1,2.0452666468918324,1,0.41591945569962263,18,7,6,0,7.043645482510328,6.051116898655891
FRA-Ligue 1,2324,Lorient,Théo Le Bris,5,2023,179,9929,D M S,26,1498,0,1.003899421542883,0,1.003899421542883,2,1.3127658069133759,13,13,2,0,5.161802479997277,3.0794665943831205
FRA-Ligue 1,2324,Lorient,Tiemoué Bakayoko,5,2023,179,3429,M S,20,1320,2,1.53631126973778,2,1.53631126973778,1,0.5140000507235527,12,4,5,0,5.109879486262798,3.6135247200727463
FRA-Ligue 1,2324,Lorient,Vincent Le Goff,5,2023,179,3464,D S,9,560,1,0.13378017023205757,1,0.13378017023205757,1,0.992842554114759,4,9,1,0,1.874815944582224,0.9136202055960894
FRA-Ligue 1,2324,Lorient,Yvon Mvogo,5,2023,179,6110,GK,34,3060,0,0.0,0,0.0,0,0.0,0,0,1,0,4.602884083986282,4.602884083986282
FRA-Ligue 1,2324,Lyon,Adryelson,5,2023,178,12337,S,2,3,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
FRA-Ligue 1,2324,Lyon,Ainsley Maitland-Niles,5,2023,178,1750,D F M S,23,1440,1,3.2190229715779424,0,2.458927829749882,4,1.913672556169331,18,18,1,1,6.2861070185899734,5.338687606155872
FRA-Ligue 1,2324,Lyon,Alexandre Lacazette,5,2023,178,3277,F S,29,2328,19,14.314888790249825,17,12.794698551297188,2,2.1464070649817586,62,20,3,1,14.286405302584171,2.908077796921134
